Vehicle Model,Battery Capacity (kWh),Charging Station Location,Charging Start Time,Charging Duration (hours),Charging Rate (kW),Energy Consumed (kWh),State of Charge (Start %),State of Charge (End %),Temperature (°C),Vehicle Age (years),Charger Type,User Type
Hyundai Kona,64.001550614779,Chicago,2024-01-20 00:00:00,4.997142194867054,6.841222720444185,33.96128429385176,54.04440702373821,100.0,13.665164635530259,4,Level 1,Casual Driver
Chevy Bolt,69.90869898165147,Houston,2024-01-05 06:00:00,3.516591378478096,8.01827758626375,17.092252141935525,16.302991379208414,40.2299322666672,,9,Level 1,Long-Distance Traveler
BMW i3,43.34872141639295,Los Angeles,2024-02-16 22:00:00,4.954912767451313,8.003122184718448,33.32756167959799,41.73489980402379,100.0,39.26660593084726,2,Level 1,Long-Distance Traveler
Chevy Bolt,53.89599089286002,Houston,2024-02-11 19:00:00,3.469848250108595,16.01006196961011,38.49934627993895,64.29299353225309,100.0,37.00194683377128,4,Level 2,Commuter
Chevy Bolt,65.78649003369722,San Francisco,2024-02-08 02:00:00,3.8005712240352123,5.47824824765601,9.360597530345823,67.94338579813011,85.32915546604592,39.061878183343275,1,Level 1,Commuter
Nissan Leaf,41.81271285068219,Los Angeles,2024-01-24 19:00:00,2.2489520069458115,23.8767368177001,32.679806934520386,47.649427766358286,100.0,22.15035665225734,3,Level 2,Commuter
BMW i3,35.18902902580855,Chicago,2024-01-18 11:00:00,2.448353961495741,33.46148090621085,51.562436584125564,68.93795227039908,100.0,23.365573843270038,6,DC Fast Charger,Commuter
BMW i3,32.36257339515207,Chicago,2024-01-15 20:00:00,1.1486104879522783,20.943511914807875,20.878779991715177,42.097791183449154,100.0,12.168631311380395,9,Level 2,Long-Distance Traveler
BMW i3,36.13597464468768,Los Angeles,2024-03-13 00:00:00,4.202375066443055,17.673580638036086,44.83711252685858,33.76932693576066,100.0,9.835146725255326,1,Level 2,Casual Driver
Chevy Bolt,65.01781080403033,New York,2024-01-06 10:00:00,4.689765638992401,27.552530709883268,81.07732497453857,40.853184831635986,100.0,20.260706981050458,5,Level 2,Long-Distance Traveler
Hyundai Kona,61.88878506449868,Los Angeles,2024-01-06 02:00:00,3.305471601623504,52.768923625239594,112.46536692484922,12.521305627128935,100.0,27.828272301760222,2,DC Fast Charger,Long-Distance Traveler
BMW i3,42.48685511373247,San Francisco,2024-01-16 23:00:00,2.0464128880042933,59.529970379125416,79.80089137027241,31.111534779550205,100.0,34.34921782231277,7,DC Fast Charger,Long-Distance Traveler
Chevy Bolt,51.96882197534299,New York,2024-02-07 07:00:00,1.193073464184648,49.687002931573176,38.90005473187636,34.79632844698436,100.0,13.448130283195873,4,DC Fast Charger,Casual Driver
Nissan Leaf,,Chicago,2024-02-09 16:00:00,1.6932030336739172,49.08888645786382,51.26356913071964,60.16080691686358,100.0,4.967193814755447,5,DC Fast Charger,Commuter
Hyundai Kona,49.89371434949584,Los Angeles,2024-03-27 05:00:00,1.649346893833295,6.39014096184087,15.454281658991102,54.31215852825907,90.30934770016948,28.807819838795275,8,Level 1,Long-Distance Traveler
Nissan Leaf,36.723112419661575,Houston,2024-01-05 12:00:00,3.2608754787360787,45.97544480355926,90.52228771295536,44.09272803961205,100.0,-1.8177226183505297,2,DC Fast Charger,Long-Distance Traveler
Hyundai Kona,66.92924701379656,Houston,2024-02-03 22:00:00,4.75266859413622,35.423281695279925,100.05836941074615,27.573020266957545,100.0,19.52947317213673,3,Level 2,Commuter
Chevy Bolt,,San Francisco,2024-03-12 14:00:00,0.7172234913109166,8.614339031586445,5.984476997622692,17.15724807002271,21.06897784523216,21.07165550976052,5,Level 1,Long-Distance Traveler
Tesla Model 3,,Houston,2024-02-07 14:00:00,0.504600348175016,41.47049163250574,20.85720743764527,27.604726359450815,52.99833423494262,15.454546385192986,4,DC Fast Charger,Casual Driver
Hyundai Kona,57.91564215013879,Los Angeles,2024-03-17 15:00:00,3.200818749414465,12.278617738324357,26.382316329419446,49.18726461234357,94.67542121784655,,5,Level 1,Long-Distance Traveler
Nissan Leaf,33.86964703591846,Los Angeles,2024-02-17 11:00:00,1.7782720793587186,19.975100324988635,21.611690519111306,22.097456940527152,90.29693441959199,15.612667891745389,3,Level 2,Long-Distance Traveler
Chevy Bolt,67.71889238786684,Houston,2024-01-02 02:00:00,4.4624675405253065,7.642304000353712,20.23676363027803,32.747635221095784,57.38118552788943,39.71050941201941,9,Level 1,Commuter
Hyundai Kona,65.07751135169303,Los Angeles,2024-01-28 05:00:00,1.9726263855761765,26.69798685935933,36.139092328498855,30.140065267309332,90.35321787144792,27.10065921639699,8,Level 2,Long-Distance Traveler
Tesla Model 3,79.15228862439702,San Francisco,2024-03-13 03:00:00,1.803819202380002,14.310230364637496,23.073571321275693,54.76335414641891,85.22501159534805,33.94057522435423,6,Level 2,Long-Distance Traveler
Tesla Model 3,83.14567667642157,New York,2024-02-28 01:00:00,1.7127977954823377,17.863365991754506,18.579297776758363,62.446159046909386,81.16888713373311,5.393578073812911,1,Level 2,Casual Driver
BMW i3,30.0,San Francisco,2024-02-17 10:00:00,1.1518377227070986,30.24082412285345,22.906502285399572,50.4591121927135,100.0,23.068495187327823,4,Level 2,Commuter
BMW i3,45.808695839821915,San Francisco,2024-01-27 12:00:00,3.1168871342469977,6.55034267332721,10.582055034386226,27.20414696064722,49.57306527033652,21.060084220394756,7,Level 1,Commuter
